movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0120824,38000000,11434216,13256225
tt0120832,73000000,55591409,48300000
tt0120834,35000000,14417593,8632000
tt0120836,30000000,6552255,0
tt0120844,58000000,70187658,42400000
tt0120855,130000000,171091819,277100000
tt0120857,12000000,14401563,0
tt0120863,52000000,36400491,61726074
tt0120877,20000000,20308772,0
tt0120878,4000000,2143,0
tt0120888,18000000,80245725,43061262
tt0120889,85000000,55382927,0
tt0120891,170000000,113804681,108300000
tt0120903,75000000,157299718,139039810
tt0120907,15000000,2856712,0
tt0120910,80000000,60655420,30219150
tt0120912,140000000,193735288,251400000
tt0120913,75000000,22753426,14001208
tt0120915,115000000,474544677,552538030
tt0120917,100000000,89302687,80025000
tt0121765,115000000,310676740,343103230
tt0121766,113000000,380270577,488119983
tt0122151,140000000,130444603,155000000
tt0122459,24000000,32722798,3887197
tt0122933,80000000,106885658,70000000
tt0123209,35000000,27807627,0
tt0123221,12000000,430404,0
tt0123964,80000000,64016268,9459000
tt0124198,30000000,9898412,0
tt0124298,35000000,26511114,13751906
tt0124315,24000000,57545092,31000000
tt0125022,35000000,40336607,17419801
tt0125439,42000000,116089678,247854844
tt0125454,23000000,26875268,0
tt0125664,82000000,34607430,12827000
tt0125971,7000000,7302522,0
tt0126029,60000000,267665011,216744207
tt0126250,10000000,10920544,0
tt0126886,25000000,14902041,0
tt0126916,80000000,35188640,10924000
tt0127536,30000000,30082699,52067943
tt0128214,300000,42953,0
tt0128278,80000000,34105207,0
tt0128445,9000000,17105219,90281
tt0128853,65000000,115821495,135000000
tt0129136,6000000,11710,0
tt0129167,70000000,23159305,19920
tt0129280,75000000,28544120,0
tt0129290,90000000,135026902,67266000
tt0129332,12000000,2062405,0
tt0129387,23000000,176484651,193400000
tt0130018,65000000,40002112,0
tt0130121,75000000,33864342,20400000
tt0130623,127500000,137748063,212074702
tt0131325,55000000,66384775,32241000
tt0131369,80000000,22431897,12811000
tt0131646,30000000,11578059,0
tt0131704,76000000,26005820,9129000
tt0132245,94000000,32720065,22024673
tt0132347,68000000,29762011,3699000
tt0132477,25000000,32570685,2128000
tt0132512,60000000,22365133,0
tt0133046,13000000,8951935,0
tt0133093,63000000,171479930,293863857
tt0133152,100000000,180011740,182200000
tt0133240,140000000,38176783,71864580
tt0133412,7000000,27816,0
tt0133751,15000000,40283321,0
tt0133952,70000000,40981289,75691623
tt0134067,24000000,100494675,40400000
tt0134084,40000000,89143175,72691101
tt0134119,40000000,81298265,47500000
tt0134154,38000000,635096,0
tt0134273,40000000,36663315,59955384
tt0134618,28000000,8891623,0
tt0134630,21000000,4739023,1881219
tt0134847,23000000,39240659,13947000
tt0134983,90000000,14230455,597626
tt0136244,12000000,1263279,0
tt0137338,6000000,6852450,0
tt0137363,31000000,24756177,16311134
tt0137494,66000000,87704396,124700000
tt0137523,63000000,37030102,64157401
tt0138097,25000000,100317794,189000000
tt0138304,75000000,10672566,8926022
tt0138510,25000000,4152230,0
tt0138749,95000000,50863742,25568985
tt0138946,24000000,889352,34684
tt0139134,10500000,38773785,37573641
tt0139239,20000000,16943454,11508168
tt0139414,35000000,31770414,25100000
tt0139462,80000000,52880016,66000000
tt0139668,55000000,16649768,0
tt0139699,16000000,52894169,1400000
tt0139809,16000000,11916661,6647427
tt0140352,90000000,29089912,31200000
tt0140379,11000000,16071990,0
tt0140688,1000000,307037,0
tt0141098,75000000,52900680,41000000
tt0141109,85000000,34562556,0
tt0141369,90000000,97403112,37000000
tt0141399,44000000,2962465,40831
tt0141907,90000000,6719973,3652318
tt0141926,62000000,77122415,50544000
tt0142192,25000000,15164492,9329109
tt0142342,34200000,163479795,71322100
tt0142688,38000000,18661336,39740562
tt0143145,135000000,126943684,234888716
tt0143746,21000000,17650,0
